uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,conn_state,orig_ip_bytes,resp_ip_bytes,is_malicious,rtt,query,answers,TTLs,version,server_name,resumed,next_protocol,established,cert_chain_fuids,trans_depth,host,uri,request_body_len,response_body_len,status_code,status_msg,resp_fuids,fuid,tx_hosts,rx_hosts,source,analyzers,is_orig,seen_bytes,total_bytes,certificate.serial,certificate.issuer,certificate.key_alg,certificate.valid_duration
167,1,47846,7,8000,1,3.234064,3,180,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
105,1,47814,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
66,1,47824,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
146,1,47826,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
152,1,47846,7,8000,1,,3,60,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
187,1,47848,7,8000,1,3.002893,3,180,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
77,1,56338,1,443,1,300.223022,6,4568,3038,1,,46,43,58,0,8,1,0,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
210,1,14121,40,53,2,0.009203,6,65,81,1,0.009203,9,10,18,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
180,1,26982,40,53,2,0.009029,6,65,81,1,0.009029,32,5,21,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
78,0,3,0,4,0,0.001371,0,3456,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
104,1,47810,7,8000,1,175.358599,4,1494,855,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,13,53,6,0,0,0,0,101.0,101.0,12,5,2,
104,1,47810,7,8000,1,175.358599,4,1494,855,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,13,42,6,0,0,0,0,4.0,4.0,12,5,2,
104,1,47810,7,8000,1,175.358599,4,1494,855,1,,46,43,58,3,43,2,2,2,20,2.0,0,4,0.0,4.0,200.0,1,9,53,6,0,0,0,0,101.0,101.0,12,5,2,
104,1,47810,7,8000,1,175.358599,4,1494,855,1,,46,43,58,3,43,2,2,2,20,2.0,0,4,0.0,4.0,200.0,1,9,42,6,0,0,0,0,4.0,4.0,12,5,2,
104,1,47810,7,8000,1,175.358599,4,1494,855,1,,46,43,58,3,43,2,2,2,20,3.0,0,4,0.0,0.0,,3,18,53,6,0,0,0,0,101.0,101.0,12,5,2,
104,1,47810,7,8000,1,175.358599,4,1494,855,1,,46,43,58,3,43,2,2,2,20,3.0,0,4,0.0,0.0,,3,18,42,6,0,0,0,0,4.0,4.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,7,40,6,0,0,0,0,101.0,101.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,7,7,0,1,0,0,1,4.0,4.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,7,48,6,0,0,0,0,2.0,2.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,7,0,0,1,0,0,1,4.0,4.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,2.0,0,4,4.0,2.0,200.0,1,11,40,6,0,0,0,0,101.0,101.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,2.0,0,4,4.0,2.0,200.0,1,11,7,0,1,0,0,1,4.0,4.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,2.0,0,4,4.0,2.0,200.0,1,11,48,6,0,0,0,0,2.0,2.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,2.0,0,4,4.0,2.0,200.0,1,11,0,0,1,0,0,1,4.0,4.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,3.0,0,4,4.0,0.0,,3,18,40,6,0,0,0,0,101.0,101.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,3.0,0,4,4.0,0.0,,3,18,7,0,1,0,0,1,4.0,4.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,3.0,0,4,4.0,0.0,,3,18,48,6,0,0,0,0,2.0,2.0,12,5,2,
71,1,47812,7,8000,1,178.204267,4,1674,890,1,,46,43,58,3,43,2,2,2,20,3.0,0,4,4.0,0.0,,3,18,0,0,1,0,0,1,4.0,4.0,12,5,2,
34,1,60690,35,443,1,200.249416,6,267,322,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
197,1,44670,12,443,1,0.05065,0,135,135,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,2,21,6,0,0,0,0,101.0,101.0,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,2,25,6,0,0,0,0,5.0,5.0,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,1.0,0,2,0.0,101.0,200.0,1,2,28,6,0,0,0,0,4.0,4.0,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,2.0,0,3,0.0,5.0,200.0,1,5,21,6,0,0,0,0,101.0,101.0,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,2.0,0,3,0.0,5.0,200.0,1,5,25,6,0,0,0,0,5.0,5.0,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,2.0,0,3,0.0,5.0,200.0,1,5,28,6,0,0,0,0,4.0,4.0,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,3.0,0,3,0.0,4.0,200.0,1,6,21,6,0,0,0,0,101.0,101.0,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,3.0,0,3,0.0,4.0,200.0,1,6,25,6,0,0,0,0,5.0,5.0,12,5,2,
39,1,47848,7,8000,1,304.083738,6,1590,1056,1,,46,43,58,3,43,2,2,2,20,3.0,0,3,0.0,4.0,200.0,1,6,28,6,0,0,0,0,4.0,4.0,12,5,2,
31,1,47848,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
36,1,47848,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
113,1,47848,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
49,2,5228,0,57736,1,0.022804,0,128,136,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
135,1,37500,17,443,1,300.072549,2,2697,4684,1,,46,43,58,1,31,0,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
68,1,40176,25,443,1,300.505891,2,3646,3044,1,,46,43,58,0,9,1,1,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
153,1,37498,17,443,1,300.670556,2,28918,7002,1,,46,43,58,1,31,0,2,1,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
85,1,47848,7,8000,1,,7,52,0,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
147,1,60756,35,443,1,228.484099,6,519,3610,1,,46,43,58,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
166,1,45726,40,53,2,0.009085,6,72,144,1,0.009085,1,18,49,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
217,1,60718,40,53,2,0.018982,6,68,84,1,0.018982,2,9,34,3,43,2,2,2,20,,3,11,,,,3,18,70,18,2,2,2,2,,,12,5,2,
